npv, moves first, value, expanded nodes, generated nodes, seconds, generated/seconds
34, White, -4, 0, 1,0, inf
33, Black, -4, 1, 2,0, inf
32, White, -4, 3, 5,1.00001e-06, 4.99996e+06
31, Black, -4, 4, 6,0, inf
30, White, -4, 5, 9,2.00002e-06, 4.49997e+06
29, Black, -4, 6, 10,1.00001e-06, 9.99992e+06
28, White, -4, 16, 30,7.99994e-06, 3.75003e+06
27, Black, -4, 27, 49,1.3e-05, 3.76924e+06
26, White, -4, 28, 53,3.2e-05, 1.65625e+06
25, Black, -4, 29, 57,0.000287, 198606
24, White, -4, 30, 60,0.000381, 157480
23, Black, -4, 45, 94,0.002293, 40994.3
22, White, -4, 299, 559,0.008232, 67905.7
21, Black, -4, 552, 1016,0.017211, 59032
20, White, -4, 553, 1022,0.055114, 18543.4
19, Black, -4, 4646, 8577,0.250523, 34236.4
18, White, -4, 17493, 32881,1.9299, 17037.6
17, Black, -4, 48289, 88149,5.32081, 16566.8
16, White, -4, 84030, 152762,21.0398, 7260.6
15, Black, -4, 156759, 282929,63.2484, 4473.3
14, White, -4, 317022, 565287,1171.97, 482.341
